Period,HighHP_HighQ,HighHP_LowQ,LowHP_HighQ,LowHP_LowQ
-10to0,-9.147212969686032,8.503405421527402,-8.004497843309574,7.800294345132131
11to20,0.4854142225356531,-0.05333919883562585,0.8198836038182522,-0.3450221327241213
1to4,0.10701543207354652,1.3278817972483496,1.1991090973313303,0.5427334201625242
1to40,3.129492905366379,0.12273898792999653,2.6784633730018594,-1.08711466775897
21to40,2.5638221912433745,0.7717610876684896,2.140651487551378,-0.016438758888402995
5to10,1.0203117999475282,0.44951449993065856,1.5716232239134134,0.8692043009381579
week1,0.31601846934926653,-0.5390813871043544,1.2445298197012937,-1.5697720624292786
week1to8,2.233532997432706,1.010026475311927,2.445215041364281,-1.2086077618739925
week2to4,2.1237154034903387,-0.3852754558807425,1.9018912657262368,-1.5176206153245102
week5to8,0.6300514870665336,2.1884399373187104,1.2102994572297472,-0.018607114654162805
