Portfolio,Period,Mean_Return,Std_Return,t_stat,N_obs
LowHP_LowQ,-10to0,0.01295783891264793,0.020681757166004167,7.800294345132131,155
LowHP_LowQ,1to4,0.0005610667164256207,0.012870451731497265,0.5427334201625242,155
LowHP_LowQ,5to10,0.0011947763687615667,0.017057882479723212,0.8692043009381579,154
LowHP_LowQ,11to20,-0.0005497183086097904,0.019707836997341643,-0.3450221327241213,153
LowHP_LowQ,21to40,-4.01170041525613e-05,0.03008716458876636,-0.016438758888402995,152
LowHP_LowQ,1to40,-0.003670069482201663,0.04203052164243617,-1.08711466775897,155
LowHP_LowQ,week1,-0.0022560488587530948,0.017892777207517984,-1.5697720624292786,155
LowHP_LowQ,week2to4,-0.00392560282319233,0.032099886762002386,-1.5176206153245102,154
LowHP_LowQ,week5to8,-5.246423958650888e-05,0.034647573326406535,-0.018607114654162805,151
LowHP_LowQ,week1to8,-0.00490452593353863,0.05052164761345791,-1.2086077618739925,155
LowHP_HighQ,-10to0,-0.015006136991057706,0.023264577790061785,-8.004497843309574,154
LowHP_HighQ,1to4,0.0011856228776976712,0.012270103706321206,1.1991090973313303,154
LowHP_HighQ,5to10,0.0022323790028549286,0.017569734816458148,1.5716232239134134,153
LowHP_HighQ,11to20,0.0014455686180956863,0.02173743538751612,0.8198836038182522,152
LowHP_HighQ,21to40,0.0056651945013212026,0.03252050879045835,2.140651487551378,151
LowHP_HighQ,1to40,0.010075811310740116,0.04668256110768979,2.6784633730018594,154
LowHP_HighQ,week1,0.002007086513206731,0.020013412466198182,1.2445298197012937,154
LowHP_HighQ,week2to4,0.005120684110738172,0.03330335731249096,1.9018912657262368,153
LowHP_HighQ,week5to8,0.003807710770139355,0.038531573402048054,1.2102994572297472,150
LowHP_HighQ,week1to8,0.011251560487621248,0.0571026234083696,2.445215041364281,154
HighHP_LowQ,-10to0,0.01590700143040014,0.021328833824674095,8.503405421527402,130
HighHP_LowQ,1to4,0.0015367144409781444,0.013194879579108693,1.3278817972483496,130
HighHP_LowQ,5to10,0.0006412853098615164,0.01620326151335923,0.44951449993065856,129
HighHP_LowQ,11to20,-0.00010002476581758252,0.021216123748441104,-0.05333919883562585,128
HighHP_LowQ,21to40,0.002260057573792369,0.03300186516774803,0.7717610876684896,127
HighHP_LowQ,1to40,0.0004906132006975979,0.045575177382403895,0.12273898792999653,130
HighHP_LowQ,week1,-0.0008491980179833737,0.017960826218622706,-0.5390813871043544,130
HighHP_LowQ,week2to4,-0.0012214415951753307,0.03600776931347468,-0.3852754558807425,129
HighHP_LowQ,week5to8,0.006967353093130242,0.03573703036937831,2.1884399373187104,126
HighHP_LowQ,week1to8,0.004676122972254201,0.052786740031336474,1.010026475311927,130
HighHP_HighQ,-10to0,-0.01569524777232656,0.019563703020968333,-9.147212969686032,130
HighHP_HighQ,1to4,0.00010467149890033505,0.011152024380225294,0.10701543207354652,130
HighHP_HighQ,5to10,0.0014647579546519024,0.01630526310423502,1.0203117999475282,129
HighHP_HighQ,11to20,0.0008056865017061129,0.01877839955791621,0.4854142225356531,128
HighHP_HighQ,21to40,0.006675355896993423,0.029341910178809914,2.5638221912433745,127
HighHP_HighQ,1to40,0.011072607025510918,0.04034108657226561,3.129492905366379,130
HighHP_HighQ,week1,0.00043951096059426364,0.015857288257967384,0.31601846934926653,130
HighHP_HighQ,week2to4,0.005860393983149391,0.0313419022585492,2.1237154034903387,129
HighHP_HighQ,week5to8,0.002103195547882,0.037470447982920506,0.6300514870665336,126
HighHP_HighQ,week1to8,0.010237045876847085,0.05225814056837174,2.233532997432706,130
