Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1994-01-03,465.44000244140625,466.94000244140625,464.3599853515625,466.510009765625,270140000
1994-01-04,466.8900146484375,466.8900146484375,464.44000244140625,465.44000244140625,326600000
1994-01-05,467.54998779296875,467.82000732421875,465.9200134277344,466.8900146484375,400030000
1994-01-06,467.1199951171875,469.0,467.0199890136719,467.54998779296875,365960000
1994-01-07,469.8999938964844,470.260009765625,467.0299987792969,467.0899963378906,324920000
1994-01-10,475.2699890136719,475.2699890136719,469.54998779296875,469.8999938964844,319490000
1994-01-11,474.1300048828125,475.2799987792969,473.2699890136719,475.2699890136719,305490000
1994-01-12,474.1700134277344,475.05999755859375,472.1400146484375,474.1300048828125,310690000
1994-01-13,472.4700012207031,474.1700134277344,471.79998779296875,474.1700134277344,277970000
1994-01-14,474.9100036621094,475.32000732421875,472.5,472.5,304920000
1994-01-17,473.29998779296875,474.9100036621094,472.8399963378906,474.9100036621094,233980000
1994-01-18,474.25,475.19000244140625,473.2900085449219,473.29998779296875,308840000
1994-01-19,474.29998779296875,474.70001220703125,472.2099914550781,474.25,311370000
1994-01-20,474.9800109863281,475.0,473.4200134277344,474.29998779296875,310450000
1994-01-21,474.7200012207031,475.55999755859375,473.7200012207031,474.9800109863281,346350000
1994-01-24,471.9700012207031,475.20001220703125,471.489990234375,474.7200012207031,296900000
1994-01-25,470.9200134277344,472.55999755859375,470.2699890136719,471.9700012207031,326120000
1994-01-26,473.20001220703125,473.44000244140625,470.7200012207031,470.9200134277344,304660000
1994-01-27,477.04998779296875,477.5199890136719,473.20001220703125,473.20001220703125,346500000
1994-01-28,478.70001220703125,479.75,477.04998779296875,477.04998779296875,313140000
1994-01-31,481.6099853515625,482.8500061035156,478.70001220703125,478.70001220703125,322870000
1994-02-01,479.6199951171875,481.6400146484375,479.17999267578125,481.6000061035156,322510000
1994-02-02,482.0,482.2300109863281,479.57000732421875,479.6199951171875,328960000
1994-02-03,480.7099914550781,481.9599914550781,478.7099914550781,481.9599914550781,318350000
1994-02-04,469.80999755859375,481.0199890136719,469.2799987792969,480.67999267578125,378380000
1994-02-07,471.760009765625,472.0899963378906,467.57000732421875,469.80999755859375,348270000
1994-02-08,471.04998779296875,472.3299865722656,469.5,471.760009765625,318180000
1994-02-09,472.7699890136719,473.4100036621094,471.04998779296875,471.04998779296875,332670000
1994-02-10,468.92999267578125,473.1300048828125,468.9100036621094,472.80999755859375,327250000
1994-02-11,470.17999267578125,471.1300048828125,466.8900146484375,468.92999267578125,213740000
1994-02-14,470.2300109863281,471.989990234375,469.04998779296875,470.17999267578125,263190000
1994-02-15,472.5199890136719,473.4100036621094,470.2300109863281,470.2300109863281,306790000
1994-02-16,472.7900085449219,474.1600036621094,471.94000244140625,472.5299987792969,295450000
