,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2017-08-01,264550,53372,81989,149138,126313,073732,COCOA - ICE FUTURES U.S.,2023.0,-0.08627858627858628,22825,-4.032757602385514,-28617,4.399732061827454,0.04065332854119245,0.09638669927083872,0.05036344755970923,-0.0024715768660404924,0.016484233814661377
2017-08-08,247413,53937,75035,134359,118355,073732,COCOA - ICE FUTURES U.S.,2018.0,-0.06468536414820564,16004,-2.5783405783405784,-21098,2.842184842184842,0.08997127187255158,0.05829947585522439,-0.0024715768660404924,-0.07581764122893953,0.012226427803450584
2017-08-15,229231,53226,81602,127496,105387,073732,COCOA - ICE FUTURES U.S.,1865.0,-0.0964485606222544,22109,2.4675340422694036,-28376,-2.9416400916685865,0.08515434789143046,0.05397988548372742,-0.07581764122893953,0.03109919571045583,0.008055832439550617
2017-08-22,241773,58867,98490,131050,99495,073732,COCOA - ICE FUTURES U.S.,1923.0,-0.130514987198736,31555,4.120734106643517,-39623,-4.906404456639809,0.04097247825804073,0.14317126025534294,0.03109919571045583,0.02808112324492984,0.0022236384392818605
2017-08-29,247682,59879,97288,133518,104195,073732,COCOA - ICE FUTURES U.S.,1977.0,-0.11838970938542163,29323,-0.9231800076931668,-37409,0.915735007631125,0.030154009246444242,0.014086926644906373,0.02808112324492984,-0.0015174506828528056,-0.004602925887012237
2017-09-05,248497,59794,100034,132630,99935,073732,COCOA - ICE FUTURES U.S.,1974.0,-0.13157100488134665,32695,1.3614231151234244,-40240,-1.1429978763091384,0.022135746995463633,0.017712791250594388,-0.0015174506828528056,0.012664640324214771,-0.011420228845583798
2017-09-12,261699,63839,101535,138373,109431,073732,COCOA - ICE FUTURES U.S.,1999.0,-0.11059270383150108,28942,-1.51027980217065,-37696,1.0237548139414159,0.06149618246678827,0.03353610603843409,0.012664640324214771,-0.017008504252126078,-0.017248460381756908
2017-09-19,261183,61716,92237,139125,116385,073732,COCOA - ICE FUTURES U.S.,1965.0,-0.08706539093279425,22740,-2.3698982418732975,-30521,2.7416994333184306,0.03015928926460804,0.07418497853240924,-0.017008504252126078,0.003053435114503733,-0.02097021355057095
2017-09-26,257041,61819,86901,140797,122161,073732,COCOA - ICE FUTURES U.S.,1971.0,-0.07250205220178882,18636,-1.5713120685496376,-25082,2.08244793880153,0.028323914845716808,0.036572081764389454,0.003053435114503733,0.05631659056316596,-0.024046834721206355
2017-10-03,254019,61950,80885,139004,127926,073732,COCOA - ICE FUTURES U.S.,2082.0,-0.04361091099484684,11078,-2.9403869421609783,-18935,2.3914472788387844,0.028314539392350055,0.04303567052893199,0.05631659056316596,-0.01777137367915471,-0.027089827992011706
