,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,GF_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,40489,10808,8170,13938,9930,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,224.6999969482422,-0.09898984909481588,4008,,2638,,,,,-0.014018664616225807,
2015-01-13,41785,11535,7891,13867,9216,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,221.5500030517578,-0.11130788560488214,4651,1.5880856528933784,3644,2.484625453826965,0.03400771130269029,0.05178626582930094,-0.014018664616225807,-0.031934086440023046,
2015-01-20,41516,11875,8190,13858,9280,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,214.4750061035156,-0.11027073899219578,4578,-0.1747038410913007,3685,0.09812133540744288,0.0031549831446105975,0.03184649887864441,-0.031934086440023046,-0.017251484330278566,
2015-01-27,41292,12135,8493,14327,9516,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,210.7749938964844,-0.11651167296328586,4811,0.5612294055303979,3642,-0.10357452548415069,0.029568426791930547,0.027292999806088812,-0.017251484330278566,-0.05349303391284532,
2015-02-03,36983,10072,8405,13884,7564,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,199.5,-0.17088932752886463,6320,3.6544609125254284,1667,-4.78300881526688,0.11166542334949646,0.1164150024354603,-0.05349303391284532,0.012656611009946861,
2015-02-10,36659,9371,8853,13820,7218,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,202.0249938964844,-0.18009220109659294,6602,0.7625125057458833,518,-3.106832869156099,0.019488544538454226,0.06304872695346796,0.012656611009946861,-0.002846167383313114,
2015-02-17,38487,9578,9354,13791,7412,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,201.4499969482422,-0.16574427728843505,6379,-0.608309010065741,224,-0.8019858697727706,0.010517379616092063,0.037396999788717515,-0.002846167383313114,-0.02903941887986028,
2015-02-24,39531,9781,8712,13522,7837,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,195.6000061035156,-0.14381118615769903,5685,-1.803206277444332,1069,2.1955465481851015,0.032492157872559574,0.045692964905639975,-0.02903941887986028,0.03642637923144698,
2015-03-03,39793,10597,9056,14357,8350,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,202.7250061035156,-0.1509561983263388,6007,0.8145506058536339,1541,1.1939996458475628,0.05936495353855639,0.05902406757238081,0.03642637923144698,0.04686151048948095,
2015-03-10,40547,12058,10515,13958,7853,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,212.2250061035156,-0.15056600981576934,6105,0.24627447038423844,1543,0.005026009599678335,0.04108018889551144,0.1293580826651309,0.04686151048948095,-0.0030628301876752806,
2015-03-17,41662,12890,10361,14457,8383,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,211.5749969482422,-0.14579232874081896,6074,-0.07645448491873628,2529,2.4317458751572247,0.045052539404553414,0.04240677820308804,-0.0030628301876752806,0.026468184730190858,
2015-03-24,42131,13076,11184,14510,8592,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,217.1750030517578,-0.14046663976644277,5918,-0.37444193749699967,1892,-1.5289712447794153,0.011341009436412431,0.04159109645507007,0.026468184730190858,0.004374338367182151,
2015-03-31,40786,13055,10187,13669,8538,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,218.125,-0.12580297160790468,5131,-1.8679831952718902,2868,2.316583988037312,0.0403026072859909,0.04380001721022287,0.004374338367182151,-0.002063023258416896,
2015-04-07,41392,14010,10380,13772,9488,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,217.6750030517578,-0.10349826053343641,4284,-2.076692982886285,3630,1.8682881380865983,0.04527085124677558,0.04706847068470685,-0.002063023258416896,-0.020558199337438743,
2015-04-14,39896,13106,8631,12981,8968,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,213.1999969482422,-0.10058652496490876,4013,-0.6547158871279474,4475,2.041457286432161,0.05972937263656659,0.12204996089616782,-0.020558199337438743,-0.0025797516868225623,
2015-04-21,38531,13379,8104,12526,9566,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,212.6499938964844,-0.0768212608029898,2960,-2.6393623420894325,5275,2.0052135552436336,0.04766431287343835,0.03723874691616627,-0.0025797516868225623,0.015636079484910637,
2015-04-28,37967,12922,8266,12532,9616,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,215.9750061035156,-0.07680353991624306,2916,-0.11419376605849836,4656,-1.6064986634138745,0.0025284450063211127,0.02921464980177459,0.015636079484910637,-0.002778127498827443,
