,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2016-05-31,5379,2719,1029,805,2786,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,303.3999938964844,0.36828406767057076,-1981,5.322550310325371,1690,-2.0876434079368065,0.07880813143971038,0.045090715048025615,0.007973401649449707,-0.014831905374181775,-0.028118251642525013
2016-06-07,5307,2359,1096,891,2692,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,298.8999938964844,0.33936310533257963,-1801,3.3463469046291134,1263,-7.938278490425729,0.050237231370360035,0.123589001447178,-0.014831905374181775,-0.005018400905419496,-0.022036259963230016
2016-06-14,5039,1930,1158,1146,2375,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,297.3999938964844,0.24389759872990674,-1229,10.778217448652724,772,-9.25193141134351,0.16245384833854018,0.15900259067357514,-0.005018400905419496,0.004707444267707972,-0.01948366542528989
2016-06-21,4659,1969,1057,1005,2286,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,298.79998779296875,0.2749517063747585,-1281,-1.0319507838856916,912,2.7783290335384003,0.06988757216651474,0.046265697290152015,0.004707444267707972,0.0016733601754577165,-0.015726917907711146
2016-06-28,3994,1644,946,1102,2084,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,299.29998779296875,0.24586880320480722,-982,6.4176861987550975,698,-4.593260356299635,0.0938480853735091,0.16833976833976835,0.0016733601754577165,0.06080859655637716,-0.01133967684093154
2016-07-05,4063,2046,1008,780,2268,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,317.5,0.36623184838789075,-1488,-12.669003505257887,1038,8.512769153730595,0.16601049868766404,0.15193189259986903,0.06080859655637716,-0.0028346264456200476,-0.0035957136890471574
2016-07-12,4316,2558,1098,471,2402,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,316.6000061035156,0.4474050046339203,-1931,-10.903273443268521,1460,10.386413979817869,0.15419422206752523,0.16466083150984684,-0.0028346264456200476,0.028742911964885653,0.00574352282540606
2016-07-19,4921,3279,1291,318,2698,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,325.70001220703125,0.48364153627311524,-2380,-10.403151065801667,1988,12.233549582947173,0.14887267904509283,0.2,0.028742911964885653,0.013816394938111154,0.016698581318664894
2016-07-26,5219,3469,1300,311,2822,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,330.20001220703125,0.4811266526154436,-2511,-2.6620605567973987,2169,3.678114204429994,0.041812958825406955,0.04172782553994548,0.013816394938111154,-0.04633560794950531,0.02928501376117159
2016-08-02,5328,3258,1396,465,2537,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,314.8999938964844,0.3888888888888889,-2072,8.411573098294692,1862,-5.88235294117647,0.14623584277148569,0.06596476149548776,-0.04633560794950531,0.05493813479156118,0.04109879448639142
2016-08-09,5408,3141,1360,592,2663,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,332.20001220703125,0.38295118343195267,-2071,0.01876876876876877,1781,-1.5202702702702704,0.07772657450076804,0.03399244612308376,0.05493813479156118,-0.026791162212588593,0.05378999881658254
2016-08-16,5332,3229,1249,480,2773,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,323.29998779296875,0.4300450112528132,-2293,-4.105029585798817,1980,3.679733727810651,0.06824469720258224,0.044439481911567665,-0.026791162212588593,0.005258312005009591,0.06730624657576903
2016-08-23,5148,3438,1176,278,2755,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,325.0,0.48115773115773114,-2477,-3.45086271567892,2262,5.288822205551388,0.07253544345532476,0.0611183355006502,0.005258312005009591,-0.03876924954927885,0.08209781184810352
2016-08-30,4300,2809,1040,276,1949,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,312.3999938964844,0.38906976744186045,-1673,15.61771561771562,1769,-9.576534576534575,0.36314606741573036,0.19875292283710055,-0.03876924954927885,0.00032012197653497054,0.09527836362003037
2016-09-06,3565,1985,1091,301,1222,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,312.5,0.25834502103786816,-921,17.488372093023255,894,-20.348837209302324,0.4937623112278398,0.28446033810143045,0.00032012197653497054,-0.008000000000000007,0.1061505657328292
2016-09-13,3102,1751,1000,300,1033,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,310.0,0.23629916183107672,-733,5.273492286115007,751,-4.011220196353436,0.14253563390847712,0.11813885859687387,-0.008000000000000007,-0.0119355232484879,0.11577343763599712
2016-09-20,3482,1840,1319,627,1116,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,306.29998779296875,0.14043653072946582,-489,7.865892972275951,521,-7.414571244358478,0.23522662076878945,0.1291547958214625,-0.0119355232484879,0.06496906695116533,0.12353685066841401
